date,screentime,activitytime,readingtime,hscore
2023-01-02,2.4,4.4,2.4,100
2023-01-04,3.6,2.2,4.7,99.0
2023-08-22,3.4,0.6,1.3,88.0
2023-09-28,0.7,4.3,1.5,100
2023-08-25,3.0,0.4,4.5,100
2023-12-03,0.8,3.5,0.9,98.0
2023-02-25,0.9,3.4,2.5,100
2023-03-10,2.9,3.6,3.6,100
2023-01-22,1.5,4.7,1.7,100
2023-08-03,3.8,1.7,0.1,51.0
2023-11-27,3.7,2.8,4.8,100
2023-08-22,2.4,2.9,3.5,100
2023-02-02,2.3,3.4,1.4,87.0
2023-10-02,4.9,0.4,0.1,52.0
2023-04-25,4.0,4.7,0.5,64.0
2023-12-16,3.1,2.3,4.4,99.0
2023-12-11,0.2,4.3,1.2,100
2023-12-16,2.9,4.3,0.1,54.0
2023-12-06,2.1,2.0,2.3,99.0
2023-09-01,0.7,2.9,4.6,100
2023-09-13,3.8,1.3,0.5,64.0
2023-12-23,1.8,4.0,1.8,100
2023-04-01,4.6,1.7,3.6,100
2023-02-20,4.9,1.1,4.6,100
2023-11-08,2.5,1.2,3.5,100
2023-04-10,3.3,2.7,1.0,76.0
2023-04-10,4.3,0.5,3.3,100
2023-08-17,1.5,0.8,0.0,60.0
2023-08-16,4.5,3.1,3.1,100
2023-06-14,2.1,0.1,2.9,67.0
2023-09-14,3.0,4.0,4.6,100
2023-09-22,4.9,4.9,3.3,100
2023-08-19,1.5,0.1,1.6,71.0
2023-01-28,3.6,1.1,1.2,82.0
2023-10-19,2.4,1.5,3.3,98.0
2023-01-22,4.2,4.8,0.6,66.0
2023-06-16,1.8,0.4,1.4,93.0
2023-04-07,3.8,4.4,2.3,100
2023-09-05,1.3,2.5,0.8,87.0
2023-05-24,4.4,1.0,1.9,100
2023-11-05,0.8,5.0,3.2,100
2023-07-02,5.0,1.5,2.3,100
2023-08-12,1.4,0.8,3.9,100
2023-12-15,2.5,1.0,3.5,99.0
2023-04-11,2.5,4.9,3.3,100
2023-03-22,3.8,2.8,0.5,63.0
2023-08-10,0.5,4.6,1.9,100
2023-04-01,1.4,3.6,5.0,100
2023-11-03,0.7,0.3,2.8,100
2023-05-06,1.2,0.9,4.1,100
2023-04-22,3.2,0.3,3.1,100
2023-12-04,1.2,2.8,0.1,66.0
2023-03-12,2.9,1.9,3.2,100
2023-04-04,3.1,1.1,4.5,100
2023-03-05,1.1,1.2,0.3,76.0
2023-02-22,2.8,0.3,1.7,96.0
2023-03-03,1.1,1.4,4.1,100
2023-02-10,0.4,3.4,1.5,100
2023-07-16,4.1,2.1,1.9,100
2023-12-05,3.2,2.3,0.5,62.0
2023-01-18,0.5,1.3,4.0,100
2023-12-12,2.8,4.9,2.2,100
2023-03-04,2.8,0.3,0.2,56.0
2023-12-24,3.0,3.7,2.8,100
2023-07-21,4.1,1.6,3.0,99.0
2023-11-11,3.8,1.0,3.3,100
2023-07-20,1.1,0.6,0.8,89.0
2023-01-08,2.5,5.0,3.3,100
2023-01-08,3.7,0.9,1.0,78.0
2023-04-16,0.4,3.8,2.8,100
2023-04-06,3.0,2.6,1.0,75.0
2023-04-18,0.3,4.1,4.1,100
2023-03-07,2.8,2.7,2.2,100
2023-10-13,4.8,4.9,0.2,54.0
2023-07-23,4.6,3.6,4.4,99.0
2023-06-02,1.7,3.7,1.6,100
2023-11-17,4.0,4.5,1.1,80.0
2023-11-23,4.9,1.4,4.2,100
2023-08-11,0.5,4.9,4.8,100
2023-03-10,2.4,0.1,3.1,64.0
2023-10-03,0.5,1.5,4.4,100
2023-04-20,3.9,3.7,0.9,76.0
2023-06-07,0.1,4.1,1.8,100
2023-04-18,3.9,2.6,4.7,99.0
2023-10-24,3.6,0.7,1.8,100
2023-11-07,2.0,4.5,1.6,94.0
2023-09-06,1.7,0.5,0.1,60.0
2023-11-03,4.9,2.8,0.3,58.0
2023-02-12,3.7,0.4,0.2,54.0
2023-02-26,3.3,4.5,3.9,99.0
2023-12-11,5.0,0.2,1.1,65.0
2023-05-22,4.2,1.6,1.7,99.0
2023-04-08,1.0,1.3,0.8,91.0
2023-10-17,4.3,4.2,4.3,98.0
2023-05-16,4.0,5.0,0.8,71.0
2023-04-11,3.9,0.3,0.0,51.0
2023-09-21,4.4,4.8,2.5,99.0
2023-12-20,3.0,0.8,3.7,98.0
2023-10-22,1.0,1.1,4.4,100
2023-05-12,1.8,0.1,1.9,72.0
2023-08-22,2.3,3.7,0.9,75.0
2023-07-09,2.0,0.0,0.1,3.0
2023-09-16,3.6,4.6,0.6,64.0
2023-05-08,4.6,4.5,3.3,99.0
2023-09-15,0.1,2.9,4.6,100
2023-10-16,2.6,0.7,1.0,78.0
2023-07-22,3.8,2.2,2.4,99.0
2023-07-11,4.0,0.6,3.1,100
2023-03-23,2.4,2.3,4.6,99.0
2023-08-28,4.8,1.2,2.6,98.0
2023-04-14,0.1,0.0,1.6,83.0
2023-03-04,2.2,1.9,4.3,98.0
2023-04-04,2.1,2.4,1.6,95.0
2023-11-04,0.1,1.0,4.7,100
2023-09-28,3.7,2.2,1.4,89.0
2023-04-25,0.7,3.2,0.8,98.0
2023-07-27,0.0,1.4,2.8,100
2023-10-24,1.7,1.1,1.2,89.0
2023-06-21,4.9,0.2,0.8,57.0
2023-02-03,0.5,2.6,0.1,83.0
2023-09-12,0.3,2.7,4.8,100
2023-05-25,4.4,2.0,4.9,100
2023-04-27,2.5,0.8,3.2,100
2023-07-03,2.4,0.4,4.3,100
2023-03-01,3.8,1.0,2.6,99.0
2023-11-04,3.4,2.9,2.8,98.0
2023-08-20,4.4,0.2,1.9,85.0
2023-09-13,2.1,3.1,2.8,100
2023-09-27,2.5,4.1,2.2,98.0
2023-10-27,3.8,2.7,2.2,100
2023-07-26,2.2,2.3,1.0,79.0
2023-11-24,3.3,0.8,4.2,100
2023-01-27,3.4,5.0,3.3,100
2023-05-02,2.8,0.3,0.1,51.0
2023-11-28,4.9,0.1,4.3,66.0
2023-08-14,4.8,1.5,1.9,99.0
2023-08-22,0.7,1.9,2.7,100
2023-10-23,4.6,4.6,0.5,64.0
2023-04-19,0.9,2.9,4.3,100
2023-12-04,2.7,1.9,5.0,99.0
2023-10-23,3.7,0.6,1.1,78.0
2023-12-07,3.7,3.3,1.2,85.0
2023-07-02,4.5,3.9,4.3,98.0
2023-09-13,3.4,3.4,0.4,62.0
2023-11-17,2.7,0.9,0.3,58.0
2023-07-09,3.8,0.0,3.4,51.0
2023-06-08,4.1,2.6,0.5,64.0
2023-12-22,3.9,4.2,1.7,98.0
2023-07-27,2.8,1.0,4.8,98.0
2023-04-28,3.1,3.3,2.2,100
2023-02-18,4.2,0.6,3.7,100
2023-04-25,3.7,2.7,1.8,100
2023-07-08,4.2,0.4,2.0,99.0
2023-04-10,4.1,1.3,2.4,100
2023-10-17,4.7,2.6,0.6,68.0
2023-06-03,1.7,2.2,2.9,100
2023-05-03,1.3,4.0,4.9,100
2023-08-14,0.2,1.8,3.8,100
2023-11-15,4.3,4.3,3.7,99.0
2023-11-12,3.8,1.5,1.3,86.0
2023-08-23,3.1,2.3,1.6,94.0
2023-04-25,3.4,1.0,0.0,48.0
2023-04-09,1.8,3.5,2.7,100
2023-01-09,4.7,3.0,3.5,100
2023-10-10,4.2,3.6,0.3,59.0
2023-10-14,4.0,4.3,0.6,66.0
2023-08-04,0.9,3.5,2.9,100
2023-02-06,2.3,4.2,4.4,99.0
2023-02-21,4.9,2.3,2.4,100
2023-02-04,4.9,3.3,0.8,71.0
2023-02-07,3.7,2.6,1.7,97.0
2023-05-07,3.7,4.9,2.2,100
2023-02-16,0.8,4.8,3.2,100
2023-08-08,2.9,2.9,4.5,100
2023-03-07,4.6,1.0,4.0,100
2023-03-25,4.7,1.4,3.7,100
2023-07-04,0.7,3.8,1.6,100
2023-10-10,3.0,2.8,3.8,99.0
2023-01-28,4.7,0.5,0.1,51.0
2023-04-27,1.5,0.1,1.8,77.0
2023-10-20,4.1,0.8,3.6,100
2023-03-16,0.2,4.8,0.5,98.0
2023-07-24,2.2,0.2,4.8,83.0
2023-02-20,4.7,4.0,4.5,99.0
2023-05-02,5.0,1.1,4.3,100
2023-06-23,4.1,3.6,1.1,80.0
2023-11-17,4.4,3.7,0.8,71.0
2023-07-09,1.5,1.4,3.9,100
2023-11-01,0.1,0.5,0.5,99.0
2023-11-01,1.3,3.9,0.6,82.0
2023-11-17,2.1,2.2,1.0,78.0
2023-11-27,2.9,2.2,0.1,50.0
2023-07-12,3.5,3.4,3.0,99.0
2023-12-09,4.9,0.7,1.4,88.0
2023-01-25,2.3,3.3,2.6,99.0
2023-09-06,4.5,0.5,1.2,83.0
2023-08-07,1.8,1.9,4.7,100
2023-10-03,0.6,0.0,4.8,76.0
2023-11-24,2.3,2.2,2.4,100
2023-10-26,3.9,0.2,4.2,82.0
2023-06-17,1.2,3.3,2.5,100
2023-06-08,2.8,0.2,0.1,35.0
2023-05-21,1.0,0.9,2.9,100
2023-11-01,1.0,0.4,3.8,100
2023-08-05,3.3,0.5,0.2,54.0
2023-12-14,2.2,2.2,4.7,100
2023-09-06,2.5,0.9,3.7,100
2023-06-09,0.8,2.5,0.4,84.0
2023-08-28,3.0,1.4,1.0,77.0
2023-07-09,0.6,4.4,2.1,100
2023-06-09,1.4,3.5,0.5,76.0
2023-10-10,0.2,0.7,1.5,100
2023-10-17,4.9,0.6,0.3,56.0
2023-11-19,0.8,0.5,3.9,100
2023-07-18,3.6,3.9,4.6,99.0
2023-10-26,0.6,2.8,1.1,100
2023-09-23,3.9,2.9,0.0,52.0
2023-04-05,0.9,3.6,4.9,100
2023-05-07,2.4,3.5,5.0,100
2023-07-19,4.7,2.8,2.9,100
2023-09-01,1.7,0.1,1.0,52.0
2023-05-23,3.3,2.6,4.3,99.0
2023-01-17,0.3,4.1,2.0,100
2023-05-12,2.6,4.4,4.2,98.0
2023-03-04,2.6,0.9,3.8,99.0
2023-01-08,4.3,1.9,3.6,100
2023-10-15,4.8,0.5,4.1,100
2023-01-10,3.0,0.4,4.8,100
2023-05-26,4.2,1.2,2.3,100
2023-12-28,2.4,3.2,1.0,76.0
2023-04-08,2.5,4.0,1.1,80.0
2023-01-03,0.6,1.9,2.6,100
2023-02-21,1.6,2.0,1.2,89.0
2023-03-27,1.8,0.8,3.8,100
2023-04-08,3.1,3.1,4.6,100
2023-03-04,4.8,3.0,4.4,100
2023-10-09,0.3,0.5,4.9,100
2023-09-21,1.3,2.5,4.7,100
2023-01-24,0.2,3.5,2.7,100
2023-04-05,3.7,2.3,2.1,100
2023-06-27,3.7,4.1,2.4,98.0
2023-02-12,2.0,2.4,1.0,77.0
2023-04-28,3.5,3.7,1.7,98.0
2023-06-11,0.0,3.1,3.6,100
2023-06-07,3.4,4.9,2.9,100
2023-04-01,4.9,4.5,4.8,100
2023-03-24,3.5,1.1,1.5,92.0
2023-05-26,3.0,0.4,1.4,90.0
2023-09-16,1.1,0.9,3.0,100
2023-06-21,4.4,4.2,3.6,100
2023-04-14,3.8,3.5,3.5,100
2023-11-16,1.0,3.7,1.1,100
2023-01-07,3.6,3.0,2.8,99.0
2023-05-05,0.3,0.2,3.0,100
2023-06-16,4.3,4.0,1.1,81.0
2023-07-15,2.3,4.1,2.6,99.0
2023-10-10,4.2,2.9,2.4,99.0
2023-11-05,4.8,0.4,3.1,100
2023-11-19,0.8,2.2,4.6,100
2023-09-14,2.3,1.6,4.0,100
2023-06-04,0.1,2.4,4.4,100
2023-05-12,4.5,3.1,4.5,99.0
2023-02-12,3.8,2.1,0.2,55.0
2023-04-13,1.9,4.9,3.9,100
2023-03-18,3.5,3.8,1.8,100
2023-07-19,2.7,1.2,4.3,100
2023-09-12,3.1,3.4,2.1,100
2023-12-08,3.5,1.0,1.2,84.0
2023-02-10,2.6,2.4,0.7,70.0
2023-06-09,0.7,2.2,2.2,100
2023-11-03,4.0,2.5,4.7,99.0
2023-01-13,1.5,1.8,1.0,88.0
2023-09-15,4.2,0.7,4.4,99.0
2023-08-17,3.3,1.9,0.9,76.0
2023-08-28,2.8,4.0,3.7,100
2023-10-23,4.0,1.5,4.1,99.0
2023-12-11,0.4,1.3,3.9,100
2023-08-19,0.8,0.8,2.7,100
2023-01-03,4.1,0.1,0.2,23.0
2023-10-21,0.2,2.2,1.7,100
2023-11-21,1.6,1.9,2.6,100
2023-06-04,3.5,1.5,3.6,99.0
2023-03-26,1.3,2.9,0.3,74.0
2023-09-26,1.7,3.8,2.5,100
2023-09-21,3.4,0.8,1.1,80.0
2023-12-09,1.9,0.9,2.6,100
2023-08-11,3.4,3.8,2.0,99.0
2023-10-15,0.3,1.3,4.3,100
2023-11-20,4.8,0.9,2.4,99.0
2023-04-04,4.4,4.3,1.7,99.0
2023-09-02,1.6,1.3,4.8,100
2023-04-28,0.9,1.9,4.6,100
2023-03-04,1.4,0.6,4.5,100
2023-05-13,3.6,4.4,4.8,100
2023-10-03,4.2,3.0,2.4,99.0
2023-10-20,4.8,3.4,1.3,88.0
2023-04-11,0.3,4.5,0.8,100
2023-03-03,4.4,2.4,2.0,100
2023-05-15,3.8,0.5,2.4,100
2023-03-23,5.0,2.3,3.3,98.0
2023-02-22,0.4,3.8,3.7,100
2023-07-03,2.4,3.5,5.0,100
2023-01-10,2.4,4.0,3.0,99.0
